,batch_size,dropout_thresh,eta_max,eta_min,lamda,n_epochs,n_hidden,n_s,test_accuracy,val_accuracy
8,100,0.4,0.1,1e-05,0.005,8,200,900,0.5461,0.5508
1,100,0.2,0.1,1e-05,0.0,8,200,900,0.5459,0.5538
5,100,0.4,0.1,1e-05,0.0025,8,200,900,0.5427,0.554
6,100,0.0,0.1,1e-05,0.005,8,200,900,0.5423,0.5548
3,100,0.0,0.1,1e-05,0.0025,8,200,900,0.5418,0.5506
2,100,0.4,0.1,1e-05,0.0,8,200,900,0.5416,0.5408
9,100,0.0,0.1,1e-05,0.0075,8,200,900,0.5411,0.5512
10,100,0.2,0.1,1e-05,0.0075,8,200,900,0.5404,0.5506
7,100,0.2,0.1,1e-05,0.005,8,200,900,0.5399,0.55
11,100,0.4,0.1,1e-05,0.0075,8,200,900,0.5398,0.5476
4,100,0.2,0.1,1e-05,0.0025,8,200,900,0.5392,0.5512
12,100,0.0,0.1,1e-05,0.01,8,200,900,0.5386,0.543
0,100,0.0,0.1,1e-05,0.0,8,200,900,0.5377,0.5594
14,100,0.4,0.1,1e-05,0.01,8,200,900,0.5375,0.5442
13,100,0.2,0.1,1e-05,0.01,8,200,900,0.5363,0.5448
