,batch_size,eta_max,eta_min,l,lamda,n_epochs,n_hidden,n_s,test_accuracy,val_accuracy
21,100,0.1,1e-05,-2.5,0.0031622776601683794,8,200,900,0.5413,0.5538
23,100,0.1,1e-05,-2.0,0.01,8,200,900,0.5391,0.5496
22,100,0.1,1e-05,-2.25,0.005623413251903491,8,200,900,0.5371,0.5506
15,100,0.1,1e-05,-2.25,0.005623413251903491,8,150,900,0.5354,0.5444
14,100,0.1,1e-05,-2.5,0.0031622776601683794,8,150,900,0.5353,0.5536
16,100,0.1,1e-05,-2.0,0.01,8,150,900,0.5345,0.5402
7,100,0.1,1e-05,-2.5,0.0031622776601683794,8,100,900,0.5274,0.5444
8,100,0.1,1e-05,-2.25,0.005623413251903491,8,100,900,0.5268,0.5392
24,100,0.1,1e-05,-1.75,0.01778279410038923,8,200,900,0.5241,0.5252
17,100,0.1,1e-05,-1.75,0.01778279410038923,8,150,900,0.524,0.5278
9,100,0.1,1e-05,-2.0,0.01,8,100,900,0.5216,0.5364
1,100,0.1,1e-05,-2.25,0.005623413251903491,8,50,900,0.5176,0.5152
10,100,0.1,1e-05,-1.75,0.01778279410038923,8,100,900,0.5148,0.5206
2,100,0.1,1e-05,-2.0,0.01,8,50,900,0.5127,0.517
0,100,0.1,1e-05,-2.5,0.0031622776601683794,8,50,900,0.5126,0.5198
3,100,0.1,1e-05,-1.75,0.01778279410038923,8,50,900,0.5013,0.4956
18,100,0.1,1e-05,-1.5,0.03162277660168379,8,150,900,0.4986,0.4964
25,100,0.1,1e-05,-1.5,0.03162277660168379,8,200,900,0.4982,0.4934
11,100,0.1,1e-05,-1.5,0.03162277660168379,8,100,900,0.4938,0.4932
4,100,0.1,1e-05,-1.5,0.03162277660168379,8,50,900,0.4878,0.4814
19,100,0.1,1e-05,-1.25,0.05623413251903491,8,150,900,0.468,0.4596
26,100,0.1,1e-05,-1.25,0.05623413251903491,8,200,900,0.4669,0.4606
12,100,0.1,1e-05,-1.25,0.05623413251903491,8,100,900,0.4644,0.455
5,100,0.1,1e-05,-1.25,0.05623413251903491,8,50,900,0.4601,0.451
27,100,0.1,1e-05,-1.0,0.1,8,200,900,0.4193,0.4114
20,100,0.1,1e-05,-1.0,0.1,8,150,900,0.4191,0.413
13,100,0.1,1e-05,-1.0,0.1,8,100,900,0.4182,0.4114
6,100,0.1,1e-05,-1.0,0.1,8,50,900,0.4168,0.4112
