,batch_normalisation,batch_size,eta_max,eta_min,hidden_nodes,l,lamda,n_cycles,n_s,test_accuracy,val_accuracy
6,True,100,0.1,1e-05,"[50, 50]",-2.0,0.01,2,2250.0,0.5322,0.5386
5,True,100,0.1,1e-05,"[50, 50]",-2.5,0.0031622776601683794,2,2250.0,0.5306,0.5514
4,True,100,0.1,1e-05,"[50, 50]",-3.0,0.001,2,2250.0,0.518,0.5314
7,True,100,0.1,1e-05,"[50, 50]",-1.5,0.03162277660168379,2,2250.0,0.5126,0.5182
2,True,100,0.1,1e-05,"[50, 50]",-4.0,0.0001,2,2250.0,0.5125,0.5098
3,True,100,0.1,1e-05,"[50, 50]",-3.5,0.00031622776601683794,2,2250.0,0.5061,0.5258
1,True,100,0.1,1e-05,"[50, 50]",-4.5,3.1622776601683795e-05,2,2250.0,0.5054,0.5158
0,True,100,0.1,1e-05,"[50, 50]",-5.0,1e-05,2,2250.0,0.5042,0.5188
8,True,100,0.1,1e-05,"[50, 50]",-1.0,0.1,2,2250.0,0.4925,0.4862
